"","datetime","time","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","dayOfWeek"
"4199",2011-10-07 00:00:00,"00:00:00","4","0","1","1",18.04,21.97,88,0,67,"zaterdag"
"1861",2011-05-04 11:00:00,"11:00:00","2","0","1","1",16.4,20.455,82,220.028,72,"donderdag"
"3594",2011-08-19 16:00:00,"16:00:00","3","0","1","1",32.8,37.12,49,0,327,"dinsdag"
"6024",2012-02-07 06:00:00,"06:00:00","1","0","1","1",13.12,15.15,45,199.995,100,"dinsdag"
"4874",2011-11-16 04:00:00,"04:00:00","4","0","1","2",18.04,21.97,100,150.013,4,"zondag"
"914",2011-03-02 13:00:00,"13:00:00","1","0","1","1",20.5,24.24,25,0,125,"woensdag"
"2054",2011-05-12 12:00:00,"12:00:00","2","0","1","1",23.78,27.275,60,150.013,207,"zondag"
"3398",2011-08-11 12:00:00,"12:00:00","3","0","1","1",31.98,34.09,31,169.979,214,"zaterdag"
"4499",2011-10-19 13:00:00,"13:00:00","4","0","1","2",22.14,25.76,94,190.012,106,"zondag"
"10049",2012-11-04 02:00:00,"02:00:00","4","0","0","1",12.3,16.665,65,0,37,"zaterdag"
"8539",2012-07-17 04:00:00,"04:00:00","3","0","1","1",29.52,34.09,62,0,7,"donderdag"
"904",2011-03-02 03:00:00,"03:00:00","1","0","1","1",9.02,10.605,69,190.012,4,"woensdag"
"8980",2012-08-16 13:00:00,"13:00:00","3","0","1","1",32.8,34.85,31,150.013,300,"zaterdag"
"4140",2011-10-04 13:00:00,"13:00:00","4","0","1","1",22.96,26.515,56,199.995,173,"woensdag"
"1504",2011-04-08 13:00:00,"13:00:00","2","0","1","3",14.76,16.665,76,190.012,42,"zondag"
"10481",2012-12-03 03:00:00,"03:00:00","4","0","1","1",15.58,19.695,87,0,8,"zaterdag"
"2193",2011-05-18 07:00:00,"07:00:00","2","0","1","1",22.14,25.76,88,12.998,274,"zondag"
"7527",2012-05-13 00:00:00,"00:00:00","2","0","0","1",22.96,26.515,64,110.014,98,"maandag"
"1039",2011-03-07 20:00:00,"20:00:00","1","0","1","1",12.3,15.15,33,110.014,92,"dinsdag"
"2754",2011-07-03 16:00:00,"16:00:00","3","0","0","1",34.44,40.15,53,199.995,414,"zondag"
"1624",2011-04-13 14:00:00,"14:00:00","2","0","1","2",17.22,21.21,77,169.979,106,"zaterdag"
"9966",2012-10-19 15:00:00,"15:00:00","4","0","1","1",26.24,30.305,65,199.995,395,"zondag"
"2389",2011-06-07 11:00:00,"11:00:00","2","0","1","2",31.16,34.85,52,169.979,151,"woensdag"
"2983",2011-07-13 05:00:00,"05:00:00","3","0","1","1",30.34,34.09,58,12.998,26,"zaterdag"
"4718",2011-11-09 16:00:00,"16:00:00","4","0","1","1",21.32,25,48,12.998,281,"vrijdag"
"7151",2012-04-16 08:00:00,"08:00:00","2","1","0","2",22.96,26.515,83,110.014,597,"woensdag"
"5993",2012-02-05 22:00:00,"22:00:00","1","0","0","1",10.66,13.635,60,70.015,191,"zondag"
"3960",2011-09-16 01:00:00,"01:00:00","3","0","1","1",17.22,21.21,67,12.998,26,"dinsdag"
"4320",2011-10-12 01:00:00,"01:00:00","4","0","1","3",22.96,26.515,83,89.981,10,"zaterdag"
"10389",2012-11-18 07:00:00,"07:00:00","4","0","0","1",11.48,13.635,81,12.998,42,"dinsdag"
"7378",2012-05-06 19:00:00,"19:00:00","2","0","0","2",24.6,30.305,64,110.014,383,"zaterdag"
"10365",2012-11-17 07:00:00,"07:00:00","4","0","0","1",9.84,11.365,70,12.998,78,"maandag"
"725",2011-02-13 14:00:00,"14:00:00","1","0","0","2",16.4,20.455,30,279.993,161,"woensdag"
"10415",2012-11-19 09:00:00,"09:00:00","4","0","1","2",14.76,16.665,66,169.979,278,"woensdag"
"10253",2012-11-12 15:00:00,"15:00:00","4","1","0","1",22.96,26.515,64,169.979,382,"dinsdag"
"7425",2012-05-08 18:00:00,"18:00:00","2","0","1","2",26.24,30.305,69,190.012,710,"dinsdag"
"10635",2012-12-09 13:00:00,"13:00:00","4","0","0","2",15.58,19.695,87,190.012,285,"zondag"
"10183",2012-11-09 17:00:00,"17:00:00","4","0","1","1",17.22,21.21,44,89.981,654,"vrijdag"
"5136",2011-12-08 02:00:00,"02:00:00","4","0","1","1",11.48,13.635,65,150.013,4,"zaterdag"
"430",2011-01-19 23:00:00,"23:00:00","1","0","1","1",12.3,13.635,52,310.009,28,"zondag"
"673",2011-02-11 09:00:00,"09:00:00","1","0","1","1",4.92,6.06,74,150.013,140,"zondag"
"464",2011-02-02 10:00:00,"10:00:00","1","0","1","2",9.02,13.635,100,0,61,"woensdag"
"10149",2012-11-08 07:00:00,"07:00:00","4","0","1","1",11.48,12.88,36,260.027,423,"donderdag"
"5191",2011-12-10 09:00:00,"09:00:00","4","0","0","1",11.48,12.88,61,190.012,149,"maandag"
"5187",2011-12-10 05:00:00,"05:00:00","4","0","0","1",10.66,12.88,60,110.014,6,"maandag"
"1754",2011-04-19 00:00:00,"00:00:00","2","0","1","1",20.5,24.24,55,150.013,25,"zaterdag"
"4860",2011-11-15 14:00:00,"14:00:00","4","0","1","2",22.14,25.76,60,190.012,147,"vrijdag"
"10412",2012-11-19 06:00:00,"06:00:00","4","0","1","2",14.76,16.665,66,169.979,131,"woensdag"
"8046",2012-06-15 15:00:00,"15:00:00","2","0","1","1",29.52,32.575,39,12.998,377,"zaterdag"
"4994",2011-12-02 04:00:00,"04:00:00","4","0","1","1",9.02,13.635,80,0,3,"vrijdag"
"3717",2011-09-05 19:00:00,"19:00:00","3","1","0","3",27.06,29.545,94,70.015,175,"dinsdag"
"3611",2011-09-01 09:00:00,"09:00:00","3","0","1","1",26.24,30.305,69,70.015,207,"donderdag"
"8953",2012-08-15 10:00:00,"10:00:00","3","0","1","2",29.52,34.09,62,12.998,233,"donderdag"
"2400",2011-06-07 22:00:00,"22:00:00","2","0","1","1",28.7,32.575,65,89.981,153,"woensdag"
"5196",2011-12-10 14:00:00,"14:00:00","4","0","0","1",13.94,15.15,31,220.028,293,"maandag"
"729",2011-02-13 18:00:00,"18:00:00","1","0","0","1",16.4,20.455,32,199.995,95,"woensdag"
"726",2011-02-13 15:00:00,"15:00:00","1","0","0","2",16.4,20.455,30,199.995,162,"woensdag"
"8330",2012-07-08 11:00:00,"11:00:00","3","0","0","1",37.72,44.695,42,199.995,389,"zondag"
"3439",2011-08-13 05:00:00,"05:00:00","3","0","0","1",26.24,30.305,73,70.015,18,"dinsdag"
"8731",2012-08-06 04:00:00,"04:00:00","3","0","1","2",29.52,34.85,74,89.981,11,"zondag"
"8658",2012-08-03 03:00:00,"03:00:00","3","0","1","1",27.88,31.82,79,150.013,6,"woensdag"
"9103",2012-09-02 16:00:00,"16:00:00","3","0","0","1",30.34,34.85,70,0,474,"vrijdag"
"9170",2012-09-05 11:00:00,"11:00:00","3","0","1","2",31.98,37.12,62,110.014,217,"dinsdag"
"10812",2012-12-16 22:00:00,"22:00:00","4","0","0","2",16.4,20.455,82,12.998,89,"dinsdag"
"47",2011-01-03 00:00:00,"00:00:00","1","0","1","1",9.02,9.85,44,239.994,5,"maandag"
"4450",2011-10-17 11:00:00,"11:00:00","4","0","1","1",22.96,26.515,43,0,166,"vrijdag"
"10769",2012-12-15 03:00:00,"03:00:00","4","0","0","2",9.84,14.395,81,0,23,"zondag"
"2695",2011-07-01 05:00:00,"05:00:00","3","0","1","1",24.6,30.305,64,89.981,30,"vrijdag"
"3296",2011-08-07 06:00:00,"06:00:00","3","0","0","1",28.7,33.335,89,110.014,13,"maandag"
"10146",2012-11-08 04:00:00,"04:00:00","4","0","1","2",12.3,14.395,45,190.012,10,"donderdag"
"10251",2012-11-12 13:00:00,"13:00:00","4","1","0","1",24.6,30.305,60,150.013,420,"dinsdag"
"6410",2012-03-04 08:00:00,"08:00:00","1","0","0","1",12.3,13.635,52,220.028,66,"zaterdag"
"7094",2012-04-13 23:00:00,"23:00:00","2","0","1","1",17.22,21.21,62,60.032,198,"zaterdag"
"1936",2011-05-07 14:00:00,"14:00:00","2","0","0","3",24.6,31.06,35,110.014,378,"zondag"
"6834",2012-04-03 02:00:00,"02:00:00","2","0","1","1",14.76,17.425,53,110.014,5,"zondag"
"2560",2011-06-14 14:00:00,"14:00:00","2","0","1","2",26.24,31.06,47,12.998,159,"vrijdag"
"7116",2012-04-14 21:00:00,"21:00:00","2","0","0","2",22.96,26.515,43,89.981,220,"zondag"
"5421",2011-12-19 23:00:00,"23:00:00","4","0","1","1",14.76,17.425,53,110.014,60,"vrijdag"
"3070",2011-07-16 20:00:00,"20:00:00","3","0","0","1",29.52,33.335,51,150.013,296,"woensdag"
"6101",2012-02-10 11:00:00,"11:00:00","1","0","1","2",11.48,14.395,45,70.015,153,"zaterdag"
"3518",2011-08-16 12:00:00,"12:00:00","3","0","1","1",31.16,34.09,48,220.028,162,"zaterdag"
"2246",2011-06-01 12:00:00,"12:00:00","2","0","1","1",35.26,41.665,53,0,169,"woensdag"
"7645",2012-05-17 22:00:00,"22:00:00","2","0","1","1",22.96,26.515,43,60.032,251,"zaterdag"
"5152",2011-12-08 18:00:00,"18:00:00","4","0","1","1",11.48,13.635,52,150.013,318,"zaterdag"
"7209",2012-04-18 18:00:00,"18:00:00","2","0","1","2",17.22,21.21,77,0,505,"vrijdag"
"5287",2011-12-14 09:00:00,"09:00:00","4","0","1","2",12.3,16.665,61,0,239,"zaterdag"
"10351",2012-11-16 17:00:00,"17:00:00","4","0","1","1",14.76,17.425,46,12.998,580,"zondag"
"1612",2011-04-13 02:00:00,"02:00:00","2","0","1","3",16.4,20.455,100,199.995,2,"zaterdag"
"858",2011-02-19 05:00:00,"05:00:00","1","0","0","1",16.4,20.455,15,220.028,3,"woensdag"
"3247",2011-08-05 05:00:00,"05:00:00","3","0","1","1",26.24,29.545,78,60.032,16,"zaterdag"
"1264",2011-03-17 12:00:00,"12:00:00","1","0","1","1",20.5,24.24,45,150.013,105,"maandag"
"992",2011-03-05 19:00:00,"19:00:00","1","0","0","2",18.86,22.725,67,220.028,89,"zondag"
"4482",2011-10-18 19:00:00,"19:00:00","4","0","1","1",22.96,26.515,60,70.015,317,"zaterdag"
"4868",2011-11-15 22:00:00,"22:00:00","4","0","1","2",18.86,22.725,88,70.015,128,"vrijdag"
"2971",2011-07-12 17:00:00,"17:00:00","3","0","1","1",36.08,40.91,44,190.012,428,"vrijdag"
"68",2011-01-03 23:00:00,"23:00:00","1","0","1","1",7.38,10.605,55,70.015,12,"maandag"
"9472",2012-09-18 01:00:00,"01:00:00","3","0","1","3",24.6,25.76,94,12.998,5,"donderdag"
"9",2011-01-01 09:00:00,"09:00:00","1","0","0","1",13.12,17.425,76,0,14,"zaterdag"
"5446",2012-01-02 00:00:00,"00:00:00","1","1","0","1",16.4,20.455,40,310.009,39,"zondag"
"5920",2012-02-02 21:00:00,"21:00:00","1","0","1","1",13.94,15.15,46,279.993,148,"woensdag"
"5795",2012-01-16 15:00:00,"15:00:00","1","1","0","1",10.66,10.605,44,300.026,192,"woensdag"
"2168",2011-05-17 06:00:00,"06:00:00","2","0","1","3",21.32,25,94,169.979,49,"zaterdag"
"8719",2012-08-05 16:00:00,"16:00:00","3","0","0","1",33.62,37.88,46,169.979,421,"zaterdag"
"4962",2011-11-19 20:00:00,"20:00:00","4","0","0","2",14.76,18.18,57,70.015,163,"woensdag"
"5769",2012-01-15 13:00:00,"13:00:00","1","0","0","1",8.2,9.09,34,190.012,224,"dinsdag"
"4584",2011-11-04 02:00:00,"02:00:00","4","0","1","2",16.4,20.455,76,0,10,"zaterdag"
"2408",2011-06-08 06:00:00,"06:00:00","2","0","1","1",26.24,28.79,89,89.981,116,"vrijdag"
"2394",2011-06-07 16:00:00,"16:00:00","2","0","1","1",32.8,35.605,38,150.013,308,"woensdag"
"9396",2012-09-14 21:00:00,"21:00:00","3","0","1","1",26.24,30.305,73,150.013,312,"zaterdag"
"5050",2011-12-04 12:00:00,"12:00:00","4","0","0","1",14.76,17.425,81,110.014,329,"maandag"
"526",2011-02-05 02:00:00,"02:00:00","1","0","0","2",9.84,12.12,75,110.014,17,"zondag"
"3575",2011-08-18 21:00:00,"21:00:00","3","0","1","2",27.88,31.82,79,0,149,"maandag"
"9929",2012-10-18 02:00:00,"02:00:00","4","0","1","1",18.86,22.725,82,12.998,14,"zaterdag"
"1331",2011-04-01 08:00:00,"08:00:00","2","0","1","2",10.66,12.12,87,169.979,206,"vrijdag"
"9654",2012-10-06 15:00:00,"15:00:00","4","0","0","1",24.6,31.06,46,279.993,620,"vrijdag"
"4761",2011-11-11 11:00:00,"11:00:00","4","1","0","1",13.94,14.395,42,329.975,170,"zondag"
"2135",2011-05-15 21:00:00,"21:00:00","2","0","0","1",22.14,25.76,88,0,151,"woensdag"
"811",2011-02-17 06:00:00,"06:00:00","1","0","1","1",12.3,15.15,70,89.981,47,"maandag"
"4639",2011-11-06 09:00:00,"09:00:00","4","0","0","2",12.3,15.91,75,60.032,170,"maandag"
"3204",2011-08-03 10:00:00,"10:00:00","3","0","1","3",30.34,34.09,58,60.032,68,"woensdag"
"322",2011-01-14 22:00:00,"22:00:00","1","0","1","2",6.56,11.365,69,0,36,"maandag"
"2315",2011-06-04 09:00:00,"09:00:00","2","0","0","1",25.42,31.06,43,89.981,224,"zondag"
"6578",2012-03-11 09:00:00,"09:00:00","1","0","0","1",10.66,12.88,60,150.013,90,"zondag"
"4522",2011-11-01 12:00:00,"12:00:00","4","0","1","1",20.5,24.24,48,60.032,176,"dinsdag"
"408",2011-01-19 00:00:00,"00:00:00","1","0","1","2",9.02,13.635,93,0,3,"zondag"
"5864",2012-01-19 13:00:00,"13:00:00","1","0","1","1",9.02,10.605,47,190.012,124,"zondag"
"5428",2012-01-01 06:00:00,"06:00:00","1","0","0","1",10.66,13.635,93,89.981,2,"zaterdag"
"652",2011-02-10 10:00:00,"10:00:00","1","0","1","1",4.92,5.305,42,199.995,35,"zaterdag"
"5138",2011-12-08 04:00:00,"04:00:00","4","0","1","2",9.84,9.85,60,310.009,2,"zaterdag"
"7039",2012-04-11 16:00:00,"16:00:00","2","0","1","1",18.04,21.97,33,199.995,307,"woensdag"
"789",2011-02-16 08:00:00,"08:00:00","1","0","1","2",9.02,11.365,55,110.014,230,"zaterdag"
"8997",2012-08-17 06:00:00,"06:00:00","3","0","1","1",25.42,12.12,78,89.981,157,"zondag"
"4079",2011-10-02 00:00:00,"00:00:00","4","0","0","3",14.76,16.665,93,199.995,47,"zondag"
"5774",2012-01-15 18:00:00,"18:00:00","1","0","0","1",7.38,9.09,29,150.013,120,"dinsdag"
"8342",2012-07-08 23:00:00,"23:00:00","3","0","0","3",27.88,31.82,83,60.032,123,"zondag"
"998",2011-03-06 01:00:00,"01:00:00","1","0","0","2",17.22,21.21,77,190.012,39,"maandag"
"2036",2011-05-11 18:00:00,"18:00:00","2","0","1","1",25.42,31.06,50,199.995,274,"vrijdag"
"2329",2011-06-04 23:00:00,"23:00:00","2","0","0","2",26.24,31.06,57,0,150,"zondag"
"8763",2012-08-07 12:00:00,"12:00:00","3","0","1","2",32.8,37.88,55,89.981,283,"maandag"
"6796",2012-04-01 11:00:00,"11:00:00","2","0","0","2",16.4,20.455,71,12.998,451,"vrijdag"
"10628",2012-12-09 06:00:00,"06:00:00","4","0","0","3",16.4,20.455,94,70.015,6,"zondag"
"8175",2012-07-02 00:00:00,"00:00:00","3","0","1","2",31.16,35.605,58,150.013,43,"zaterdag"
"4155",2011-10-05 04:00:00,"04:00:00","4","0","1","1",18.04,21.97,88,0,5,"donderdag"
